2007,1,[0 , 1]
33,1,[0 , 1]
43,1,[0 , 1]
44,1,[0 , 1]
58,1,[0 , 1]
70,1,[0 , 1]
73,1,[0 , 1]
7500,1,[0 , 1]
8000,1,[0 , 1]
9500,1,[0 , 1]
abandonment,1,[0 , 1]
ability,1,[0 , 1]
adapted,1,[0 , 1]
african,1,[0 , 1]
ago,1,[0 , 1]
alliance,1,[0 , 1]
anatomy,1,[0 , 1]
ancient,3,[0 , 1, 1 , 1, 4 , 1]
animals,1,[0 , 1]
asia,2,[0 , 1, 1 , 1]
association,1,[0 , 2]
associations,1,[0 , 1]
attempted,2,[0 , 1, 2 , 1]
bc,2,[0 , 2, 3 , 2]
believed,2,[0 , 1, 4 , 1]
bird,1,[0 , 2]
birds,1,[0 , 1]
bodies,1,[0 , 1]
body,1,[0 , 1]
bred,1,[0 , 1]
breeders,1,[0 , 1]
breeding,1,[0 , 3]
breeds,1,[0 , 3]
called,2,[0 , 1, 2 , 1]
carnivorous,1,[0 , 1]
cat,1,[0 , 11]
cats,1,[0 , 15]
cats2001121,1,[0 , 1]
catspecific,1,[0 , 1]
catus,1,[0 , 2]
cfa,1,[0 , 1]
claws,1,[0 , 1]
color,1,[0 , 1]
commonly,1,[0 , 1]
communication,1,[0 , 1]
companionship,1,[0 , 1]
concluded,1,[0 , 1]
contributed,1,[0 , 2]
control,1,[0 , 2]
controlled,1,[0 , 1]
crepuscular,1,[0 , 1]
darkness,1,[0 , 1]
descended,1,[0 , 1]
destruction,1,[0 , 1]
distinguish,1,[0 , 1]
diverged,1,[0 , 1]
domestic,2,[0 , 2, 3 , 1]
domesticated,1,[0 , 2]
domestication,1,[0 , 1]
early,4,[0 , 1, 1 , 3, 2 , 1, 4 , 1]
ears,1,[0 , 1]
ecological,1,[0 , 1]
egypt,1,[0 , 1]
extinction,1,[0 , 3]
extirpate,1,[0 , 1]
factors,1,[0 , 1]
failure,1,[0 , 1]
faint,1,[0 , 1]
fanciers,1,[0 , 1]
fancy,1,[0 , 1]
federation,1,[0 , 1]
felids,1,[0 , 2]
feline,1,[0 , 1]
felines,1,[0 , 1]
felis,1,[0 , 3]
feral,1,[0 , 2]
fife,1,[0 , 1]
fit,1,[0 , 1]
flexible,1,[0 , 1]
found,1,[0 , 1]
free,1,[0 , 1]
frequency,1,[0 , 1]
furry,1,[0 , 1]
genetic,1,[0 , 1]
growling,1,[0 , 1]
grunting,1,[0 , 1]
habitat,1,[0 , 1]
hear,1,[0 , 1]
high,1,[0 , 2]
hissing,1,[0 , 1]
hobby,1,[0 , 1]
housecats,1,[0 , 1]
household,1,[0 , 1]
human,2,[0 , 1, 2 , 1]
humans,3,[0 , 3, 2 , 1, 3 , 1]
hunt,1,[0 , 1]
hunters,1,[0 , 1]
in,5,[0 , 10, 1 , 21, 2 , 17, 3 , 8, 4 , 6]
includes,2,[0 , 1, 3 , 1]
indoor,1,[0 , 1]
instances,1,[0 , 1]
international,1,[0 , 3]
ipcba,1,[0 , 1]
island,1,[0 , 1]
isolated,1,[0 , 1]
killing,1,[0 , 1]
language,1,[0 , 1]
large,1,[0 , 1]
live,1,[0 , 1]
locations,2,[0 , 2, 3 , 1]
lybica,1,[0 , 1]
made,1,[0 , 1]
makes,1,[0 , 1]
mammal,1,[0 , 1]
mammals,1,[0 , 1]
mewing,1,[0 , 1]
mice,1,[0 , 1]
neolithic,1,[0 , 1]
neutering,1,[0 , 1]
niche,1,[0 , 1]
numbers,1,[0 , 2]
pedigree,1,[0 , 1]
pet,1,[0 , 2]
pets,1,[0 , 3]
pheromones,1,[0 , 1]
place,3,[0 , 1, 1 , 1, 2 , 3]
poorer,1,[0 , 1]
popular,1,[0 , 1]
population,1,[0 , 1]
populations,1,[0 , 1]
predatory,1,[0 , 1]
presence,1,[0 , 1]
prey,1,[0 , 1]
primarily,1,[0 , 1]
proclaim,1,[0 , 1]
progressive,1,[0 , 1]
purring,1,[0 , 1]
quick,1,[0 , 1]
ranging,1,[0 , 1]
rate,1,[0 , 1]
recognizes,1,[0 , 4]
reestablishment,1,[0 , 1]
reflexes,1,[0 , 1]
region,1,[0 , 1]
registered,1,[0 , 1]
requiring,1,[0 , 1]
responsible,1,[0 , 1]
resulted,1,[0 , 1]
retractable,1,[0 , 1]
sense,2,[0 , 1, 2 , 1]
senses,1,[0 , 1]
sharp,1,[0 , 1]
shown,1,[0 , 1]
silvestris,1,[0 , 2]
similar,2,[0 , 1, 1 , 3]
simply,2,[0 , 1, 4 , 1]
small,1,[0 , 3]
smell,1,[0 , 1]
social,2,[0 , 1, 1 , 1]
solely,1,[0 , 1]
solitary,1,[0 , 1]
sounds,1,[0 , 1]
species,1,[0 , 5]
specific,1,[0 , 1]
standards,1,[0 , 1]
strong,1,[0 , 1]
study,1,[0 , 1]
suitable,2,[0 , 1, 3 , 1]
teeth,1,[0 , 1]
thought,2,[0 , 1, 2 , 1]
tica,1,[0 , 1]
trilling,1,[0 , 1]
types,2,[0 , 1, 3 , 2]
unsuitable,1,[0 , 1]
valued,1,[0 , 1]
variety,1,[0 , 1]
venerated,1,[0 , 1]
vermin,1,[0 , 1]
vision,2,[0 , 1, 2 , 1]
vocalizations,1,[0 , 1]
west,1,[0 , 1]
wildcats,1,[0 , 1]
world,2,[0 , 2, 3 , 2]
worldwide,1,[0 , 1]
years,2,[0 , 1, 1 , 2]
11th,1,[1 , 1]
14th,1,[1 , 1]
15th,1,[1 , 1]
1609,1,[1 , 1]
17th,2,[1 , 1, 2 , 1]
18th,2,[1 , 1, 2 , 1]
8thcentury,1,[1 , 1]
absence,1,[1 , 1]
accelerated,1,[1 , 1]
accompanied,1,[1 , 1]
accurately,1,[1 , 1]
adorning,1,[1 , 1]
affluence,1,[1 , 1]
ancien,1,[1 , 1]
arrival,1,[1 , 1]
art,1,[1 , 1]
baghdad,1,[1 , 1]
barely,1,[1 , 1]
based,1,[1 , 1]
beginning,1,[1 , 1]
bigger,1,[1 , 1]
bourgeoisie,1,[1 , 1]
bragged,1,[1 , 1]
braudel,1,[1 , 2]
buttocks,1,[1 , 1]
calflength,1,[1 , 1]
caliphate,1,[1 , 1]
case,1,[1 , 1]
central,1,[1 , 1]
centuries,2,[1 , 1, 2 , 1]
century,3,[1 , 4, 2 , 2, 4 , 1]
change,1,[1 , 5]
changed,1,[1 , 1]
changing,1,[1 , 2]
chest,1,[1 , 1]
china,2,[1 , 2, 3 , 1]
chinese,1,[1 , 1]
classes,1,[1 , 1]
close,1,[1 , 1]
clothing,1,[1 , 5]
clothingstyles,1,[1 , 1]
completely,1,[1 , 1]
complex,1,[1 , 1]
confidence,1,[1 , 1]
considerable,1,[1 , 1]
considerably,1,[1 , 1]
continual,1,[1 , 1]
costume,1,[1 , 1]
countermovement,1,[1 , 1]
covering,1,[1 , 1]
crdoba,1,[1 , 1]
created,1,[1 , 1]
daily,1,[1 , 1]
date,2,[1 , 2, 2 , 1]
dated,1,[1 , 1]
development,2,[1 , 1, 2 , 1]
distance,2,[1 , 1, 2 , 1]
distinctive,1,[1 , 2]
dramatic,1,[1 , 1]
drastic,1,[1 , 1]
dressing,1,[1 , 2]
east,1,[1 , 2]
economic,1,[1 , 1]
elites,1,[1 , 1]
equally,1,[1 , 1]
europe,2,[1 , 3, 4 , 1]
evidence,1,[1 , 1]
factor,1,[1 , 1]
fairly,1,[1 , 1]
fashion,1,[1 , 9]
fashion201354,1,[1 , 1]
fashions,1,[1 , 2]
fernand,1,[1 , 2]
fragmentation,1,[1 , 1]
france,1,[1 , 1]
frequently,1,[1 , 1]
hair,1,[1 , 1]
historians,1,[1 , 2]
images,1,[1 , 2]
imposed,1,[1 , 1]
including,1,[1 , 1]
increasing,1,[1 , 1]
increasingly,1,[1 , 1]
india,1,[1 , 1]
initially,1,[1 , 1]
inspiration,1,[1 , 1]
introduced,1,[1 , 2]
james,1,[1 , 1]
japanese,1,[1 , 2]
laver,1,[1 , 1]
led,1,[1 , 3]
leggings,1,[1 , 1]
long,2,[1 , 1, 4 , 1]
main,1,[1 , 1]
major,1,[1 , 1]
make,1,[1 , 1]
male,1,[1 , 1]
medieval,1,[1 , 1]
mens,1,[1 , 1]
middle,1,[1 , 2]
ming,1,[1 , 1]
modern,3,[1 , 1, 2 , 1, 4 , 3]
modified,1,[1 , 1]
moorish,1,[1 , 1]
motors,1,[1 , 1]
musician,1,[1 , 1]
national,1,[1 , 2]
native,1,[1 , 1]
occurred,1,[1 , 2]
originating,1,[1 , 1]
outline,1,[1 , 1]
overgarment,1,[1 , 1]
pace,1,[1 , 1]
peasants,1,[1 , 1]
period,2,[1 , 1, 3 , 1]
persia,1,[1 , 1]
precision,1,[1 , 1]
previously,1,[1 , 1]
rapid,1,[1 , 1]
rapidly,1,[1 , 1]
reliably,1,[1 , 1]
remained,1,[1 , 1]
remark,1,[1 , 1]
rgime,1,[1 , 1]
rich,1,[1 , 1]
rome,1,[1 , 1]
seasonal,1,[1 , 1]
secretary,1,[1 , 1]
shoguns,1,[1 , 1]
shortening,1,[1 , 1]
sophisticated,1,[1 , 1]
spain,1,[1 , 1]
spanish,1,[1 , 1]
start,1,[1 , 1]
stuffing,1,[1 , 1]
style,1,[1 , 1]
styles,1,[1 , 5]
subsequent,2,[1 , 1, 4 , 1]
sudden,1,[1 , 1]
tailored,1,[1 , 1]
thousand,1,[1 , 1]
tightening,1,[1 , 1]
times,1,[1 , 1]
top,1,[1 , 1]
travelers,1,[1 , 1]
trends,1,[1 , 1]
trousers,1,[1 , 1]
turkey,1,[1 , 1]
turks,1,[1 , 1]
uncomfortably,1,[1 , 1]
upper,1,[1 , 1]
visitor,1,[1 , 1]
western,2,[1 , 3, 4 , 1]
women,1,[1 , 1]
worn,1,[1 , 1]
ziryab,1,[1 , 1]
11thcentury,1,[2 , 1]
19th,1,[2 , 1]
20th,2,[2 , 1, 4 , 1]
absolutein,1,[2 , 1]
albert,1,[2 , 1]
alhazen,1,[2 , 1]
almakan,1,[2 , 1]
antiquity,1,[2 , 1]
arab,1,[2 , 1]
aristotle,1,[2 , 1]
back,1,[2 , 1]
began,1,[2 , 1]
berkeley,1,[2 , 1]
book,1,[2 , 1]
boundless,1,[2 , 2]
classical,1,[2 , 2]
collection,1,[2 , 1]
conceived,1,[2 , 1]
concept,1,[2 , 1]
conception,1,[2 , 1]
conceptual,1,[2 , 1]
confirmed,1,[2 , 1]
considered,1,[2 , 1]
continues,1,[2 , 1]
continuum,1,[2 , 1]
contribution,1,[2 , 1]
critique,1,[2 , 1]
curved,1,[2 , 1]
debates,1,[2 , 1]
definition,1,[2 , 1]
delta,1,[2 , 1]
depth,1,[2 , 1]
deviates,1,[2 , 1]
dimensions,1,[2 , 1]
direction,1,[2 , 2]
disagreement,1,[2 , 1]
discourse,1,[2 , 1]
discussed,1,[2 , 1]
einsteins,1,[2 , 1]
elements,1,[2 , 1]
empirically,1,[2 , 1]
entities,1,[2 , 1]
entity,1,[2 , 1]
essay,1,[2 , 1]
essence,1,[2 , 1]
euclidean,1,[2 , 2]
events,1,[2 , 1]
examine,1,[2 , 1]
existed,1,[2 , 1]
existence,1,[2 , 1]
experiences,1,[2 , 1]
experimental,1,[2 , 1]
extension,1,[2 , 1]
extent,1,[2 , 1]
fact,1,[2 , 1]
faculties,1,[2 , 1]
fi,1,[2 , 1]
fields,1,[2 , 1]
flat,1,[2 , 1]
form,1,[2 , 1]
fourdimensional,1,[2 , 1]
framework,1,[2 , 2]
fundamental,1,[2 , 1]
general,1,[2 , 2]
geometrical,1,[2 , 1]
geometries,1,[2 , 2]
george,1,[2 , 1]
gottfried,1,[2 , 1]
gravitational,1,[2 , 1]
greeks,1,[2 , 1]
immanuel,1,[2 , 1]
importance,1,[2 , 1]
independently,1,[2 , 1]
intuition,1,[2 , 1]
isaac,1,[2 , 1]
iv,1,[2 , 1]
kant,1,[2 , 2]
khara,1,[2 , 1]
leibniz,1,[2 , 1]
linear,1,[2 , 1]
mathematicians,1,[2 , 1]
matter,2,[2 , 1, 3 , 1]
mechanics,1,[2 , 1]
metaphysician,1,[2 , 1]
mode,1,[2 , 1]
model,1,[2 , 1]
natural,1,[2 , 1]
nature,1,[2 , 1]
newtons,1,[2 , 1]
noneuclidean,1,[2 , 1]
notably,1,[2 , 1]
objects,1,[2 , 2]
part,3,[2 , 2, 3 , 2, 4 , 1]
perceivedthey,1,[2 , 1]
permanently,1,[2 , 1]
philosopher,1,[2 , 1]
philosophers,1,[2 , 2]
philosophical,1,[2 , 1]
physical,1,[2 , 2]
physicists,1,[2 , 1]
physics,1,[2 , 1]
plato,1,[2 , 1]
polymath,1,[2 , 1]
position,1,[2 , 1]
priori,1,[2 , 1]
provide,1,[2 , 1]
pure,1,[2 , 2]
qawl,1,[2 , 1]
qua,1,[2 , 1]
questions,1,[2 , 1]
reason,1,[2 , 1]
referred,1,[2 , 1]
reflections,1,[2 , 1]
reformulated,1,[2 , 1]
refute,1,[2 , 1]
relations,1,[2 , 1]
relationship,1,[2 , 1]
relative,1,[2 , 1]
relativity,1,[2 , 2]
renaissance,1,[2 , 1]
shape,1,[2 , 1]
socrates,1,[2 , 1]
space,1,[2 , 15]
space2014412,1,[2 , 1]
spacetime,1,[2 , 1]
spatial,1,[2 , 1]
structure,1,[2 , 1]
subjective,1,[2 , 1]
systematic,1,[2 , 1]
tests,1,[2 , 1]
theologian,1,[2 , 1]
theory,1,[2 , 2]
threedimensional,1,[2 , 1]
timaeus,1,[2 , 1]
time,2,[2 , 2, 3 , 1]
topos,1,[2 , 1]
treatises,1,[2 , 1]
unavoidable,1,[2 , 1]
understanding,1,[2 , 1]
universe,1,[2 , 1]
view,1,[2 , 1]
visibility,1,[2 , 1]
10000,1,[3 , 1]
7000,1,[3 , 1]
acreages,1,[3 , 1]
add,1,[3 , 1]
agribusinesses,1,[3 , 1]
agricultural,1,[3 , 2]
arbitrary,1,[3 , 1]
biology,1,[3 , 1]
brought,1,[3 , 1]
cereal,1,[3 , 1]
climate,1,[3 , 1]
collected,1,[3 , 1]
concerned,1,[3 , 1]
consumed,1,[3 , 1]
consumers,1,[3 , 1]
countries,1,[3 , 1]
crop,1,[3 , 1]
crops,1,[3 , 3]
culinary,1,[3 , 1]
cultivated,1,[3 , 2]
cultivation,1,[3 , 1]
cultural,1,[3 , 1]
defined,1,[3 , 1]
depending,1,[3 , 1]
derived,1,[3 , 1]
describe,1,[3 , 1]
developed,1,[3 , 1]
entered,1,[3 , 1]
environments,1,[3 , 1]
everyday,1,[3 , 1]
excludes,1,[3 , 1]
exotic,1,[3 , 1]
family,1,[3 , 1]
faraway,1,[3 , 1]
farmers,1,[3 , 1]
food,1,[3 , 3]
fruits,1,[3 , 1]
global,1,[3 , 1]
grading,1,[3 , 1]
grains,1,[3 , 1]
grew,1,[3 , 1]
grown,1,[3 , 2]
harvesting,1,[3 , 1]
huntergatherers,1,[3 , 1]
kingdom,1,[3 , 1]
largely,1,[3 , 1]
largest,1,[3 , 1]
life,1,[3 , 1]
locally,1,[3 , 1]
marketing,1,[3 , 1]
meal,1,[3 , 1]
meaning,1,[3 , 1]
nowadays,1,[3 , 1]
nuts,1,[3 , 1]
original,1,[3 , 1]
originally,1,[3 , 1]
parts,1,[3 , 1]
permits,1,[3 , 1]
plant,1,[3 , 2]
plants,1,[3 , 2]
processing,1,[3 , 1]
producer,1,[3 , 1]
production,1,[3 , 1]
products,1,[3 , 1]
protected,1,[3 , 1]
pulses,1,[3 , 1]
purchase,1,[3 , 1]
savoury,1,[3 , 1]
scale,1,[3 , 1]
seeds,1,[3 , 1]
singleproduct,1,[3 , 1]
storing,1,[3 , 1]
subsistence,1,[3 , 1]
supplying,1,[3 , 1]
term,1,[3 , 1]
terms,1,[3 , 1]
trade,1,[3 , 2]
tradition,2,[3 , 1, 4 , 3]
type,1,[3 , 1]
usage,1,[3 , 1]
varies,1,[3 , 1]
vast,1,[3 , 1]
vegetable,1,[3 , 6]
vegetables,1,[3 , 4]
vegtables19991010,1,[3 , 1]
wild,1,[3 , 1]
word,1,[3 , 1]
adopted,1,[4 , 1]
america,1,[4 , 1]
amoris,1,[4 , 1]
appearing,1,[4 , 1]
band,1,[4 , 1]
belief,1,[4 , 2]
blood,1,[4 , 1]
breakfast,1,[4 , 1]
bride,1,[4 , 3]
cake,1,[4 , 1]
ceremonies,1,[4 , 1]
ceremony,1,[4 , 1]
choice,1,[4 , 1]
choices,1,[4 , 1]
connected,1,[4 , 1]
couple,1,[4 , 2]
cultures,1,[4 , 1]
custom,1,[4 , 1]
cutting,1,[4 , 1]
dance,1,[4 , 1]
directly,1,[4 , 1]
double,1,[4 , 1]
dress,1,[4 , 2]
elegant,1,[4 , 1]
emphasized,1,[4 , 1]
extravagance,1,[4 , 1]
father,1,[4 , 1]
finger,1,[4 , 3]
fourth,1,[4 , 1]
gown,1,[4 , 1]
groom,1,[4 , 1]
grooms,1,[4 , 1]
heart,1,[4 , 1]
hearts,1,[4 , 1]
held,1,[4 , 1]
historian,1,[4 , 1]
howard,1,[4 , 1]
include,1,[4 , 1]
influenced,1,[4 , 1]
invention,1,[4 , 1]
man,1,[4 , 1]
newlyweds,1,[4 , 1]
number,1,[4 , 1]
origin,1,[4 , 1]
points,1,[4 , 1]
popularized,1,[4 , 1]
possibility,1,[4 , 1]
possibly,1,[4 , 1]
practice,1,[4 , 2]
purity,1,[4 , 1]
quality,1,[4 , 1]
queen,1,[4 , 1]
ran,1,[4 , 1]
reception,1,[4 , 1]
religious,1,[4 , 1]
ring,1,[4 , 3]
rings,1,[4 , 1]
rituals,1,[4 , 1]
roman,1,[4 , 1]
sexual,1,[4 , 1]
sign,1,[4 , 1]
speeches,1,[4 , 1]
states,1,[4 , 1]
traditional,1,[4 , 1]
unclear,1,[4 , 1]
united,1,[4 , 1]
unusual,1,[4 , 1]
values,1,[4 , 1]
veil,1,[4 , 2]
vena,1,[4 , 1]
vessel,1,[4 , 1]
vicki,1,[4 , 1]
victoria,1,[4 , 1]
victorias,1,[4 , 1]
wears,1,[4 , 1]
wedding,1,[4 , 11]
wedding188037,1,[4 , 1]
weddings,1,[4 , 1]
white,1,[4 , 5]
womans,1,[4 , 1]
wore,1,[4 , 1]
